"player","pos","exp","num","hgt","team","conf","g","min","mpg","ppg","oreb","dreb","rpg","apg","tov","ast_to","spg","bpg","usg","ortg","efg","ts","year","id","fgm","ftm","fta","ft_pct","two_m","two_a","two_pct","three_m","three_a","three_pct","dunk_m","dunk_a","dunk_pct","rim_m","rim_a","rim_pct","mid_m","mid_a","mid_pct","porpag","dporpag","adj_oe","drtg","adj_de","stops","obpm","dbpm","bpm","oreb_rate","dreb_rate","ast","to","blk","stl","ftr","pfr","rec","pick","fga","fg_pct"
"Robby Carmody","Combo G","Sr",11,"6-4","Le Moyne","NEC",24,50.1,25.14,11.24,0.76,1.6,2.36,1.08,1.27999992414815,0.84375005,0.88,0.24,21,109.9,52.4,58.37,2025,65443,80,73,92,0.793,46,91,0.505,34,94,0.362,1,1,1,40,73,0.5479,6,18,0.3333,1.59619,0.544651,107.995,117.795,125.564,92.3853,0.17176,-3.52722,-3.35546,3.8,7.7,8.9,14.3,1.1,2.1,49.7,4,83,NA,185,0.432432432432432
"Drue Drinnon","Scoring PG","Sr",55,"6-0","Texas St.","SB",24,43.8,22.6077,6.0385,0.1923,1.2308,1.4231,2.1538,1.23080002956252,1.74991871,0.4231,0.0769,13.7,109,54.2,58.26,2025,65572,40,30,40,0.75,16,39,0.41,24,57,0.421,0,0,NA,9,21,0.4286,7,18,0.3889,0.729996,1.03419,99.338,115.766,118.237,63.4953,-1.97592,-2.0619,-4.03782,1.1,5.3,14.3,22.7,0.4,1,41.7,4.4,56.8,NA,96,0.416666666666667
"K.J. Hymes","C","Sr",42,"6-10","Nevada","MWC",31,28.9,12.3839,3.4194,1.2258,1.1613,2.3871,0.2903,0.516099972422519,0.56248792,0.3226,0.4194,16.1,112.5,63.5,59.47,2025,65575,40,26,55,0.473,40,63,0.635,0,0,0,18,19,0.9474,38,55,0.6909,2,8,0.25,0.850444,1.23535,109.65,104.82,102.809,65.6713,-1.19639,0.448396,-0.747991,12.6,11.7,4.4,15.9,4.7,1.6,87.3,6.1,37.4,NA,63,0.634920634920635
"Jack Clark","Stretch 4","Sr",4,"6-10","VCU","A10",34,72.2,28.78,9.6571,1.7714,5.1714,6.9429,2,1.08570003636661,1.84212944,1.0286,0.4286,16,127.8,58.5,61.35,2025,65627,117,53,67,0.791,68,105,0.648,49,137,0.358,15,15,1,54,77,0.7013,14,28,0.5,3.27345,3.9304,122.422,93.2521,92.5856,196.471,3.56159,2.68172,6.24331,6.9,19.9,12.8,13.8,1.7,2.2,27.7,3.2,NA,NA,242,0.483471074380165
"Robert Braswell","Wing G","Sr",20,"6-7","Charlotte","Amer",32,61.9,25.0636,10.9394,0.8788,1.697,2.5758,0.4848,0.999999979372938,0.48480001,0.7879,0.697,20.2,115.5,55.5,61.3,2025,65717,109,90,108,0.833,66,122,0.541,43,113,0.381,17,21,0.8095,64,103,0.6214,2,19,0.1053,2.16924,1.66173,115.008,112.912,112.453,124.441,1.52941,-0.744872,0.784534,4.3,8.8,4.4,12.3,3.2,1.8,46,4.3,69.8,NA,235,0.463829787234043
"Wynston Tabbs","Combo G","Sr",1,"6-3","Morgan St.","MEAC",10,22.2,25.9154,15.0769,0.5385,2.6923,3.2308,2.3077,1.92310006430389,1.19998956,1.4615,0.4615,27,97.8,39,47.27,2025,65852,40,36,40,0.9,35,71,0.493,5,38,0.132,1,1,1,23,41,0.561,12,30,0.4,1.06274,1.1721,101.942,113.493,118.364,44.1323,-0.79252,-2.29208,-3.0846,2.2,10.2,18.6,16.4,1.6,2.4,36.7,3.5,42.8,NA,109,0.36697247706422
"Tyrel Bladen","C","Sr",8,"6-10","Norfolk St.","MEAC",29,38.4,17.3194,4.3871,1.129,2.2581,3.3871,0.4839,1.06449994108843,0.45457964,0.2581,0.3871,14.9,98,55.1,55.29,2025,65878,49,23,43,0.535,49,89,0.551,0,0,0,11,14,0.7857,42,70,0.6,7,19,0.3684,-0.0850302,1.27136,88.3332,107.5,110.16,82.0872,-4.32642,-0.791316,-5.11773,7.6,14.1,5,24,2.5,1,48.3,6.2,NA,NA,89,0.550561797752809
"Jerome Hunter","Wing F","Sr",2,"6-8","Xavier","BE",34,46.8,18.8588,5.7647,1.1471,2.0588,3.2059,0.8235,1.17650000178582,0.6999575,0.5294,0.4706,16.8,106.6,56.2,59.88,2025,65892,69,41,54,0.759,52,106,0.491,17,32,0.531,7,7,1,39,62,0.629,13,44,0.2955,1.09417,2.07833,106.622,103.997,99.7864,112.129,-0.231381,1.27059,1.03921,7.7,12.9,7.9,21.4,2.8,1.6,39.1,4.4,88.4,NA,138,0.5
"Antwann Jones","Combo G","Sr",4,"6-6","Bethune Cookman","SWAC",1,0.4,5.5,5,0,0,0,0,NA,0,0,0,7.2,250,125,125,2025,65925,2,0,0,0,1,1,1,1,1,1,0,0,NA,0,0,NA,1,1,1,2.64325,0.650154,228.278,115.477,97.7129,0.497404,22.6026,1.85892,24.4615,0,0,0,0,0,0,0,0,79,NA,2,1
"Keenan Fitzmorris","C","Sr",5,"7-0","Northwestern","B10",22,14.6,8.8818,2.1364,0.5909,0.4545,1.0455,0.2727,0.227299992739236,1.19973607,0.0909,0.6818,11.1,131.7,63.3,67.63,2025,65938,19,9,10,0.9,19,30,0.633,0,0,0,5,5,1,6,8,0.75,13,22,0.5909,1.03399,1.04761,123.519,105.988,97.4092,30.5318,-0.878206,3.86701,2.9888,7.7,6.4,5.6,14,9.4,0.6,33.3,6.3,55.2,NA,30,0.633333333333333
