"player","pos","exp","num","hgt","team","conf","g","min","mpg","ppg","oreb","dreb","rpg","apg","tov","ast_to","spg","bpg","usg","ortg","efg","ts","year","id","fgm","ftm","fta","ft_pct","two_m","two_a","two_pct","three_m","three_a","three_pct","dunk_m","dunk_a","dunk_pct","rim_m","rim_a","rim_pct","mid_m","mid_a","mid_pct","porpag","dporpag","adj_oe","drtg","adj_de","stops","obpm","dbpm","bpm","oreb_rate","dreb_rate","ast","to","blk","stl","ftr","pfr","rec","pick","fga","fg_pct"
"Vernon Macklin","C","Jr",32,"6-10","Florida","SEC",34,62.5,25.2647,10.5588,2.6765,2.8529,5.5294,0.7647,1.35290003862674,0.56523023,0.5882,0.8529,19.8,116.3,60.7,60.85,2010,91,156,47,80,0.588,156,257,0.607,0,0,0,42,45,0.9333,121,164,0.7378,35,93,0.3763,3.01959,2.71272,120.546,99.6269,95.2206,150.896,3.80201,1.05341,4.85543,11.9,12.9,6.5,16.2,3.5,1.4,31.1,3.8,95,52,257,0.607003891050584
"Ryan Reid","C","Sr",42,"6-8","Florida St.","ACC",31,54.8,22.7097,6.7742,1.871,2.0968,3.9677,1.129,1.64520008430885,0.68623872,0.5806,0.5161,18.3,97.5,49.1,51.58,2010,193,82,46,77,0.597,82,167,0.491,0,0,0,5,5,1,45,71,0.6338,37,96,0.3854,1.08114,2.98377,99.4978,93.5205,88.4882,117.284,0.514712,2.20601,2.72072,9.9,10,10.1,23.2,2.6,1.5,46.1,2.6,82,57,167,0.491017964071856
"Kyle Singler","Wing F","Jr",12,"6-8","Duke","ACC",40,89.9,35.95,17.675,2.25,4.75,7,2.4,1.97499994054427,1.21518991,1.025,0.8,24,117.4,49.2,54.49,2010,197,228,166,208,0.798,143,337,0.424,85,213,0.399,4,5,0.8,67,101,0.6634,76,236,0.322,5.68914,4.96123,131.328,91.8459,86.7343,269.529,7.24822,2.69598,9.9442,7,14.6,13.4,13.8,2.2,1.7,37.8,2.4,99,33,550,0.414545454545455
"Nolan Smith","Combo G","Jr",2,"6-2","Duke","ACC",38,84.4,35.5526,17.3684,0.9211,1.8684,2.7895,3,1.81579995084993,1.65216438,1.1842,0.2368,23.7,115.5,49.6,53.44,2010,198,239,122,159,0.767,179,389,0.46,60,153,0.392,10,14,0.7143,95,155,0.6129,84,231,0.3636,5.35191,4.44184,129.105,96.267,90.4999,206.298,5.38273,2.30597,7.68869,2.9,5.8,17.6,13,0.6,2,29.3,2,95.8,21,542,0.440959409594096
"E'Twaun Moore","Combo G","Jr",33,"6-4","Purdue","B10",35,78.5,31.5143,16.4286,0.9143,2.9143,3.8286,2.6571,2.08570006639294,1.27396074,1.4571,0.2857,27.7,103.9,49.9,53.13,2010,201,212,100,137,0.73,161,330,0.488,51,146,0.349,6,7,0.8571,42,63,0.6667,119,267,0.4457,3.56931,4.30533,118.479,92.4751,86.9938,204.762,4.75739,2.99876,7.75615,3.4,10.8,19.8,14.3,1,2.8,28.8,2.9,95,55,476,0.445378151260504
"JaJuan Johnson","C","Jr",25,"6-10","Purdue","B10",35,77.8,31.2286,15.4857,2.3429,4.8,7.1429,0.7429,1.79999992246601,0.41272224,0.8571,2.0571,25.4,107.9,50.7,56.05,2010,203,192,158,220,0.718,192,375,0.512,0,4,0,30,31,0.9677,49,73,0.6712,143,302,0.4735,3.69522,4.6405,119.945,88.7911,83.5282,233.811,3.64934,3.24067,6.89002,8.8,18,5.4,13.6,7,1.6,58,2.6,91.6,27,379,0.506596306068602
"Derrick Caracter","PF/C","Jr",4,"6-9","UTEP","CUSA",27,53.9,26.6667,14.0741,2.6667,5.4074,8.0741,1.1111,2.85190018919153,0.38959989,0.963,0.8519,27.3,103.5,57.5,59.84,2010,359,148,80,119,0.672,144,246,0.585,4,15,0.267,11,11,1,85,123,0.6911,59,123,0.4797,2.66955,3.8088,114.973,87.8534,84.7717,165.952,2.64456,2.10093,4.74549,12,21.7,9,22.2,3.6,2.1,45.6,4.6,95.4,58,261,0.567049808429119
"Greivis Vasquez","Pure PG","Sr",21,"6-6","Maryland","ACC",32,84.8,34.3125,20.0312,1.1875,3.5312,4.7188,6.3438,3.37499997206919,1.87964446,1.7188,0.3438,30.7,111.7,49.7,55.02,2010,465,218,138,161,0.857,151,320,0.472,67,186,0.36,4,4,1,63,109,0.578,88,211,0.4171,5.58704,3.94793,133.197,97.2737,92.9583,211.734,8.04126,1.932,9.97327,3.9,10.3,35.3,18.2,1,2.9,31.8,2.4,91.6,28,506,0.430830039525692
"Cole Aldrich","C","Jr",45,"6-11","Kansas","B12",36,66.4,26.75,11.2778,3.0556,6.7778,9.8333,0.8611,1.55560002822517,0.55354846,0.75,3.4722,20.2,116.9,56.2,59.61,2010,763,149,108,159,0.679,149,265,0.562,0,0,0,32,33,0.9697,92,126,0.7302,57,139,0.4101,3.38383,4.50588,122.431,82.6828,77.6247,264.514,4.74326,5.24154,9.9848,13.6,25.4,5.8,16.4,13,1.6,60,3.8,94.8,11,265,0.562264150943396
"Damion James","PF/C","Sr",5,"6-7","Texas","B12",34,74.8,30.2647,17.9706,3.1471,7.1471,10.2941,0.9706,2.02940008165272,0.47826942,1.6765,1.1765,25.5,115.6,54.4,57.83,2010,825,210,155,230,0.674,174,325,0.535,36,94,0.383,29,30,0.9667,110,151,0.7285,64,174,0.3678,4.55615,4.57189,129.586,87.0914,82.4905,274.792,7.03914,2.88357,9.92271,11,23.9,6.1,14.1,3.6,3,54.9,3.9,96.8,24,419,0.501193317422434
"Dexter Pittman","C","Sr",34,"6-10","Texas","B12",34,47.1,19.0588,10.4412,2.9706,2.8824,5.8529,0.5,1.76470004846219,0.28333427,0.3529,1.8529,24.4,113.1,65.4,63.82,2010,827,140,75,135,0.556,140,214,0.654,0,0,0,40,42,0.9524,105,143,0.7343,35,71,0.493,2.57587,2.53615,125.102,92.6265,87.7332,142.338,4.17635,2.8214,6.99774,16.6,15.3,5.1,20.4,8.9,1,63.1,5.6,76.6,32,214,0.654205607476635
"Lavoy Allen","C","Jr",24,"6-9","Temple","A10",35,85.5,34.4571,11.4857,3.5429,7.1714,10.7143,2.3714,1.51429991713049,1.56600418,0.5429,1.4286,19.7,114.8,54.4,55.71,2010,1089,171,55,88,0.625,166,296,0.561,5,23,0.217,33,33,1,107,136,0.7868,59,160,0.3688,3.73947,5.19519,117.222,86.2266,82.7441,258.252,4.30145,3.97642,8.27787,12.3,23.6,14.9,14.4,4.6,1,27.6,2.6,78.8,50,319,0.536050156739812
"Stanley Robinson","Wing F","Sr",21,"6-9","Connecticut","BE",34,85.6,34.2353,14.5294,2.6765,4.9706,7.6471,1,2.26469994084604,0.4415596,0.8824,1.2059,20.4,107.8,55.9,57.03,2010,1137,203,61,97,0.629,176,308,0.571,27,79,0.342,66,72,0.9167,114,144,0.7917,59,156,0.3782,3.36187,4.15816,114.022,97.9225,91.5023,216.486,3.68964,1.42368,5.11332,8.9,14.6,6.6,18.8,3.2,1.5,25.1,1.8,96.6,59,387,0.524547803617571
"Lazar Hayward","Wing F","Sr",32,"6-6","Marquette","BE",34,79.5,32.2647,18.1176,2.1176,5.4118,7.5294,1.5294,1.97060002374152,0.77610879,1.8824,0.5294,29.6,108.1,49.5,53.63,2010,1257,222,107,127,0.843,157,328,0.479,65,186,0.349,10,10,1,92,138,0.6667,65,190,0.3421,4.35997,4.27275,125.238,92.9318,87.7798,240.072,4.82618,1.82182,6.648,8.2,21.3,11.2,12.9,1.7,3.6,24.7,4.2,85.2,30,514,0.431906614785992
"Jordan Crawford","Combo G","So",55,"6-4","Xavier","A10",35,79.4,32.7714,20.5143,0.9714,3.7714,4.7429,2.8857,2.42860008739661,1.18821539,1.3429,0.2,28.9,113,53.2,56.43,2010,1345,260,119,154,0.773,181,361,0.501,79,202,0.391,17,18,0.9444,111,178,0.6236,70,183,0.3825,5.0584,3.6428,131.635,97.334,93.4411,213.404,8.04605,1.51642,9.56247,3.4,12,20.1,14.7,0.6,2.4,27.4,2,52.8,27,563,0.461811722912966
"Landry Fields","Wing F","Sr",2,"6-7","Stanford","P10",32,90.3,36.25,22,2.5312,6.2188,8.75,2.7812,2.59380012011387,1.07224916,1.5938,0.7812,31,110.3,51.9,56.04,2010,1416,248,179,257,0.696,219,420,0.521,29,86,0.337,27,32,0.8438,126,186,0.6774,93,233,0.3991,5.55525,4.14431,130.059,97.9116,93.4292,252.206,8.16358,2.43847,10.602,7.9,20.6,19.6,13.6,2.3,2.6,50.8,2.2,51.2,39,506,0.490118577075099
"Solomon Alabi","C","So",32,"7-1","Florida St.","ACC",32,63.8,25.625,11.6875,2.4688,3.7188,6.1875,0.5,1.90620008734209,0.26230195,0.625,2.3438,22.2,110.7,53.4,59.63,2010,1924,133,108,136,0.794,133,249,0.534,0,0,0,38,41,0.9268,83,114,0.7281,50,135,0.3704,2.90133,3.85983,118.479,87.2086,82.9266,176.318,2.74912,4.18156,6.93068,11.6,15.7,4.4,19.7,10.4,1.4,54.6,3.7,95.4,50,249,0.534136546184739
