,year,player,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
0,2025,izan almansa,C,81.25,220.4,23.5,,85.75,109.5,9.25,9.5,28.0,34.0,11.5,2.9,3.3,,105.5%,87.9,137.5,143.5
1,2025,neoklis avdalas,SF,79.5,197.8,22.0,,81.0,104.5,8.25,9.8,27.0,33.5,11.0,3.0,3.2,,101.9%,80.9,131.5,138.0
2,2025,ace bailey,SF-PF,79.5,203.0,22.6,,84.5,107.0,8.5,9.0,28.0,35.0,11.0,3.0,3.0,,106.3%,76.5,135.0,142.0
3,2025,tamar bates,SG,75.75,191.0,23.4,,82.25,103.0,9.75,9.0,28.0,34.0,11.0,3.0,3.0,,108.6%,87.8,131.0,137.0
4,2025,koby brea,SG,77.75,202.0,23.5,,77.25,101.5,8.5,9.3,28.0,34.0,11.0,3.0,3.0,,99.4%,79.1,129.5,135.5
5,2025,johni broome,SF-PF,81.25,249.0,26.5,,84.25,108.5,9.25,10.3,25.0,28.0,12.0,3.0,3.0,,103.7%,95.3,133.5,136.5
6,2025,carter bryant,SF-PF,78.5,215.0,24.5,,83.75,106.0,8.5,9.5,31.0,40.0,11.0,3.0,3.0,,106.7%,80.8,137.0,146.0
7,2025,miles byrd,SG,76.75,182.0,21.7,,82.0,102.5,8.75,9.3,32.0,36.0,11.0,3.0,3.0,,106.8%,81.4,134.5,138.5
8,2025,walter clayton jr,PG-SG,74.0,199.0,25.5,,76.0,97.5,8.25,9.8,30.0,37.0,11.0,3.0,3.0,,102.7%,80.9,127.5,134.5
9,2025,nique clifford,PG-SG,77.25,202.0,23.8,,80.0,102.5,8.25,8.5,31.0,36.0,11.0,3.0,3.0,,103.6%,70.1,133.5,138.5
10,2025,alex condon,SF-PF,83.25,222.0,22.5,,84.75,107.5,9.25,9.8,30.0,35.0,12.0,3.0,3.0,,101.8%,90.7,137.5,142.5
11,2025,cedric coward,PG-SG,77.25,213.0,25.1,,86.25,106.0,9.25,10.0,33.0,39.0,11.0,3.0,3.0,,111.7%,92.5,139.0,145.0
12,2025,egor demin,PG-SG,80.25,199.0,21.7,,82.25,105.5,8.25,9.3,27.0,32.0,11.0,3.0,3.0,,102.5%,76.7,132.5,137.5
13,2025,eric dixon,PF,79.5,259.0,28.8,,83.5,104.0,8.75,10.0,28.0,33.0,12.0,3.0,3.0,,105.0%,87.5,132.0,137.0
14,2025,vj edgecombe,PG-SG,76.0,193.0,23.5,,79.5,101.5,8.5,9.5,30.0,39.0,11.0,3.0,3.0,,104.6%,80.8,131.5,140.5
15,2025,jeremiah fears,PG-SG,74.5,180.0,22.8,,77.25,98.5,8.25,9.3,33.0,37.0,11.0,3.0,3.0,,103.7%,76.7,131.5,135.5
16,2025,cooper flagg,SF-PF,79.75,221.0,24.4,,84.0,106.5,8.75,9.8,29.0,36.0,11.0,3.0,3.0,,105.3%,85.8,135.5,142.5
17,2025,boogie fland,PG,74.0,172.0,22.1,,78.0,98.0,8.5,9.0,,,,,,,105.4%,76.5,,
18,2025,rasheer fleming,SF-PF,80.25,232.0,25.3,,89.25,109.0,9.5,9.5,27.0,33.0,11.0,3.0,3.0,,111.2%,90.3,136.0,142.0
19,2025,vladislav goldin,C,84.0,253.0,25.2,,89.25,111.0,9.5,11.8,27.0,30.0,12.0,3.0,4.0,,106.3%,112.1,138.0,141.0
20,2025,pj haggerty,SG,74.25,189.0,24.1,,78.5,97.5,8.5,9.5,28.0,32.0,12.0,3.0,3.0,,105.7%,80.8,125.5,129.5
21,2025,dylan harper,PG-SG,76.5,213.0,25.6,,82.5,102.0,9.25,9.3,31.0,37.0,11.0,3.0,3.0,,107.8%,86.0,133.0,139.0
22,2025,ben henshall,SG,77.5,193.0,22.6,,78.5,99.5,8.0,8.0,30.0,37.0,10.0,3.0,3.0,,101.3%,64.0,129.5,136.5
23,2025,kasparas jakucionis,PG-SG,76.75,205.0,24.5,,79.75,99.5,8.5,9.8,29.0,35.0,11.0,3.0,3.0,,103.9%,83.3,128.5,134.5
24,2025,sion james,SG,76.5,218.0,26.2,,78.5,100.0,8.25,9.3,32.0,40.0,11.0,3.0,3.0,,102.6%,76.7,132.0,140.0
25,2025,tre johnson,PG-SG,76.75,190.0,22.7,,82.25,101.0,8.5,8.0,32.0,38.0,10.0,3.0,3.0,,107.2%,68.0,133.0,139.0
26,2025,kam jones,PG,75.25,202.0,25.1,,78.0,100.5,8.25,8.5,25.0,32.0,11.0,3.0,3.0,,103.7%,70.1,125.5,132.5
27,2025,ryan kalkbrenner,C,85.0,257.0,25.0,,90.0,112.0,9.25,11.3,29.0,33.0,12.0,3.0,3.0,,105.9%,104.5,141.0,145.0
28,2025,karter knox,SF,77.0,214.0,25.4,,82.25,102.5,9.0,9.5,32.0,40.0,11.0,3.0,3.0,,106.8%,85.5,134.5,142.5
29,2025,kon knueppel,PG-SG,77.0,219.0,26.0,,78.25,101.5,8.5,9.8,,,,,,,101.6%,83.3,,
30,2025,yanic konan niederhauser,C,83.25,242.6,24.6,,87.25,111.0,9.5,9.0,33.5,37.0,11.5,2.8,3.2,,104.8%,85.5,144.5,148.0
31,2025,chaz lanier,PG-SG,75.75,206.0,25.2,,81.0,101.5,8.5,9.8,33.0,39.0,11.0,3.0,3.0,,106.9%,83.3,134.5,140.5
32,2025,yaxel lendeborg,PF,80.5,234.6,25.5,,88.0,108.5,9.25,10.0,25.5,31.5,11.7,3.1,3.3,,109.3%,92.5,134.0,140.0
33,2025,rj luis jr,SF,77.75,210.0,24.4,,82.5,103.5,9.0,10.0,31.5,38.0,11.2,3.0,3.1,,106.1%,90.0,135.0,141.5
