Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,VORP/Gm,VORP/Yr
2024,1,1,ATL,Zaccharie Risacher,,1,75,1843,942,268,92,0.458,0.355,0.711,24.6,12.6,3.6,1.2,1.8,0.046,-3.5,-0.7,-0.009333333333,-0.7
2024,2,2,WAS,Alex Sarr,,1,67,1814,869,435,161,0.394,0.308,0.679,27.1,13,6.5,2.4,-0.3,-0.007,-3.3,-0.6,-0.008955223881,-0.6
2024,5,5,DET,Ron Holland,,1,81,1266,522,218,82,0.474,0.238,0.754,15.6,6.4,2.7,1,1.8,0.067,-3,-0.3,-0.003703703704,-0.3
2024,6,6,CHO,Tidjane Salaün,,1,60,1244,353,280,74,0.33,0.283,0.713,20.7,5.9,4.7,1.2,0,0.002,-5.2,-1,-0.01666666667,-1
2024,11,11,CHI,Matas Buzelis,,1,80,1511,688,278,79,0.454,0.361,0.815,18.9,8.6,3.5,1,1.9,0.06,-2.5,-0.2,-0.0025,-0.2
2024,12,12,OKC,Nikola Topić,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2024,23,23,MIL,AJ Johnson,,1,29,639,220,59,76,0.385,0.267,0.865,22,7.6,2,2.6,-0.4,-0.032,-8.1,-1,-0.03448275862,-1
2024,25,25,NYK,Pacome Dadiet,,1,18,111,30,18,5,0.323,0.316,0.667,6.2,1.7,1,0.3,0,0.002,-6.5,-0.1,-0.005555555556,-0.1
2024,33,33,MIL,Tyler Smith,,1,23,122,67,25,4,0.48,0.433,0.75,5.3,2.9,1.1,0.2,0.2,0.083,-0.9,0,0,0
2024,36,36,IND,Juan Nunez,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2024,37,37,MIN,Bobi Klintman,,1,8,42,15,7,7,0.6,0.4,0.5,5.3,1.9,0.9,0.9,0.2,0.208,1,0,0,0
2024,43,43,MIA,Nikola Djurisic,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2024,51,51,NYK,Melvin Ajinça,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2024,57,57,MEM,Ulrich Chomche,,1,7,32,5,8,2,0.4,,0.5,4.6,0.7,1.1,0.3,0,0.001,-7.4,0,0,0
2024,58,58,DAL,Ariel Hukporti,,1,25,217,48,51,11,0.677,,0.462,8.7,1.9,2,0.4,0.1,0.02,-5.6,-0.2,-0.008,-0.2
2024,59,59,PHI,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2024,60,60,PHO,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2023,1,1,SAS,Victor Wembanyama,,2,117,3633,2638,1261,442,0.469,0.339,0.809,31.1,22.5,10.8,3.8,7.5,0.099,5.7,7.1,0.06068376068,3.55
2023,3,3,POR,Scoot Henderson,,2,128,3524,1705,392,671,0.401,0.34,0.793,27.5,13.3,3.1,5.2,0.1,0.002,-4,-1.8,-0.0140625,-0.9
2023,4,4,HOU,Amen Thompson,,2,131,3613,1562,973,428,0.549,0.221,0.684,27.6,11.9,7.4,3.3,12.3,0.163,3.2,4.7,0.0358778626,2.35
2023,5,5,DET,Ausar Thompson,,2,122,2911,1150,705,254,0.509,0.198,0.621,23.9,9.4,5.8,2.1,5.6,0.092,-0.4,1.2,0.009836065574,0.6
2023,7,7,IND,Bilal Coulibaly,,2,122,3663,1259,550,309,0.427,0.311,0.728,30,10.3,4.5,2.5,0.8,0.01,-3.9,-1.8,-0.01475409836,-0.9
2023,31,31,DET,James Nnaji,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2023,33,33,SAS,Leonard Miller,,2,30,84,49,31,8,0.543,0.2,0.9,2.8,1.6,1,0.3,0.4,0.255,4.5,0.1,0.003333333333,0.05
2023,42,42,WAS,Tristan Vukcevic,,2,45,666,415,166,52,0.482,0.348,0.775,14.8,9.2,3.7,1.2,0.9,0.063,-1.2,0.1,0.002222222222,0.05
2023,43,43,POR,Rayan Rupert,,2,91,1093,310,162,87,0.37,0.321,0.764,12,3.4,1.8,1,-0.1,-0.002,-5.9,-1.1,-0.01208791209,-0.55
2023,44,44,SAS,Sidy Cissoko,,2,34,255,77,43,25,0.46,0.16,0.625,7.5,2.3,1.3,0.7,0.2,0.04,-3.8,-0.1,-0.002941176471,-0.05
2023,47,47,LAL,Mojave King,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2023,56,56,MEM,Tarik Biberovic,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2022,8,8,NOP,Dyson Daniels,,3,196,4971,1654,873,631,0.472,0.327,0.614,25.4,8.4,4.5,3.2,9.2,0.089,0.5,3.2,0.01632653061,1.066666667
2022,11,11,NYK,Ousmane Dieng,,3,109,1339,468,237,114,0.424,0.293,0.727,12.3,4.3,2.2,1,1.7,0.062,-2.6,-0.2,-0.001834862385,-0.06666666667
2022,24,24,MIL,MarJon Beauchamp,,3,135,1465,556,258,77,0.43,0.354,0.718,10.9,4.1,1.9,0.6,1.2,0.038,-4,-0.8,-0.005925925926,-0.2666666667
2022,27,27,MIA,Nikola Jović,,3,107,2256,928,403,231,0.45,0.37,0.804,21.1,8.7,3.8,2.2,4.7,0.099,0,1.1,0.01028037383,0.3666666667
2022,36,36,POR,Gabriele Procida,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2022,37,37,SAC,Jaden Hardy,,3,178,2604,1446,309,255,0.425,0.381,0.763,14.6,8.1,1.7,1.4,0.7,0.013,-3.8,-1.2,-0.006741573034,-0.4
2022,39,39,CLE,Khalifa Diop,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2022,46,46,DET,Ismael Kamagate,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2022,50,50,MIN,Matteo Spagnolo,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2022,52,52,NOP,Karlo Matković,,1,42,791,325,209,46,0.574,0.318,0.773,18.8,7.7,5,1.1,1.6,0.096,-2,0,0,0
2022,54,54,WAS,Yannick Nzosa,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2022,55,55,GSW,Gui Santos,,2,79,954,309,221,94,0.47,0.338,0.763,12.1,3.9,2.8,1.2,2.4,0.122,-1.5,0.1,0.001265822785,0.05
2022,56,56,CLE,Luke Travers,,1,12,88,12,20,8,0.25,0,1,7.3,1,1.7,0.7,-0.1,-0.082,-9.7,-0.2,-0.01666666667,-0.2
2022,58,58,IND,Hugo Besson,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
2021,2,2,HOU,Jalen Green,,4,307,10038,6173,1310,1030,0.422,0.342,0.799,32.7,20.1,4.3,3.4,10.7,0.051,-1.1,2.2,0.007166123779,0.55
2021,6,6,OKC,Josh Giddey,,4,280,8195,3942,2100,1703,0.464,0.33,0.764,29.3,14.1,7.5,6.1,13.9,0.082,1.3,6.8,0.02428571429,1.7
2021,7,7,GSW,Jonathan Kuminga,,4,258,5672,3225,1037,456,0.507,0.332,0.696,22,12.5,4,1.8,12,0.102,-1,1.4,0.005426356589,0.35
2021,16,16,OKC,Alperen Şengün,,4,286,8101,4583,2446,1160,0.518,0.272,0.701,28.3,16,8.6,4.1,22.5,0.133,2.7,9.7,0.03391608392,2.425
